,KERRY,BUSH,OBAMA,TRUMP,BIDEN,MCCAIN,ROMNEY,CLINTON,HARRIS
2020-01-09,,,,,1.0,,,,
2020-01-23,,,,,1.0,,,,
2020-01-27,,,,,1.0,,,,
2020-02-06,,,,,1.0,,,,
2020-02-10,,,,,1.0,,,,
2020-03-06,,,,,1.0,,,,
2020-03-09,,,,,1.0,,,,
2020-03-16,,,,,1.0,,,,
2020-03-27,,,,,1.0,,,,
2020-03-31,,,,,0.0,,,,
2020-04-08,,,,,1.0,,,,
2020-05-01,,,,,0.8,,,,
2020-05-27,,,,,0.0,,,,
2020-06-25,,,,,1.0,,,,
2020-07-03,,,,,0.0,,,,
2020-07-09,,,,,0.0,,,,
2020-07-27,,,,,0.7,,,,
2020-08-03,,,,,0.0,,,,
2020-08-11,,,,,1.0,,,,
2020-08-12,,,,,0.5,,,,
2020-08-13,,,,,1.0,,,,
2020-10-15,,,,,0.7,,,,
2020-10-21,,,,,0.0,,,,
2020-10-27,,,,,1.0,,,,
2020-10-31,,,,,0.9,,,,
2020-11-02,,,,,0.8,,,,
2020-11-07,,,,,0.0,,,,
2023-06-17,,,,,0.0,,,,
2024-01-24,,,,,0.0,,,,
2024-02-01,,,,,1.0,,,,
2024-04-16,,,,,0.0,,,,
2024-04-23,,,,,-0.9,,,,
2024-07-05,,,,,0.0,,,,
2000-03-07,,,,,,0.0,,,
2007-01-29,,,,,,0.0,,,
2007-03-14,,,,,,0.0,,,
2007-04-11,,,,,,0.0,,,
2007-05-21,,,,,,0.0,,,
2007-06-18,,,,,,0.0,,,
2007-08-06,,,,,,0.0,,,
2007-08-20,,,,,,0.0,,,
2007-11-05,,,,,,0.0,,,
2008-04-23,,,,,,0.0,,,
2008-05-06,,,,,,0.0,,,
2008-05-15,,,,,,0.0,,,
2008-07-16,,,,,,1.0,,,
2008-08-26,,,,,,0.0,,1.0,
2008-09-29,,,,,,0.8,,,
2008-10-15,,,,,,-0.8,,,
2008-11-04,,,,,,0.0,,,
2011-10-08,,,,,,,-0.8,,
2012-02-10,,,,,,,-0.6,,
2012-03-02,,,,,,,0.0,,
2012-07-04,,,,,,,0.0,,
2012-09-01,,,,,,,0.0,,
2012-09-07,,,,,,,0.0,,
2012-09-12,,,,,,,0.0,,
2012-10-23,,,,,,,1.0,,
2008-06-07,,,,,,,,0.9,
2015-04-28,,,,,,,,1.0,
2015-05-05,,,,,,,,0.7,
2015-06-13,,,,,,,,0.4,
2015-06-26,,,,,,,,1.0,
2015-06-27,,,,,,,,1.0,
2015-09-27,,,,,,,,-0.4,
2015-10-03,,,,,,,,1.0,
2015-10-04,,,,,,,,1.0,
2015-10-08,,,,,,,,1.0,
2015-10-14,,,,,,,,0.0,
2015-10-16,,,,,,,,0.0,
2015-10-19,,,,,,,,1.0,
2015-10-22,,,,,,,,0.0,
2015-12-19,,,,,,,,0.8,
2015-12-21,,,,,,,,1.0,
2016-01-24,,,,,,,,0.0,
2016-02-01,,,,,,,,1.0,
2016-02-03,,,,,,,,0.7,
2016-02-05,,,,,,,,1.0,
2016-03-01,,,,,,,,0.0,
2016-03-02,,,,,,,,0.8,
2016-03-10,,,,,,,,0.3,
2016-03-14,,,,,,,,1.0,
2016-03-17,,,,,,,,-0.4,
2016-03-28,,,,,,,,1.0,
2016-04-01,,,,,,,,0.0,
2016-04-10,,,,,,,,1.0,
2016-05-26,,,,,,,,0.0,
2016-06-13,,,,,,,,0.0,
2016-07-28,,,,,,,,0.5,
2016-08-26,,,,,,,,0.5,
2016-09-08,,,,,,,,-0.2,
2016-09-15,,,,,,,,1.0,
2016-09-16,,,,,,,,1.0,
2016-09-19,,,,,,,,1.0,
2016-09-28,,,,,,,,1.0,
2016-10-10,,,,,,,,1.0,
2016-10-13,,,,,,,,0.0,
2016-10-20,,,,,,,,0.0,
2016-10-21,,,,,,,,1.0,
2016-10-24,,,,,,,,0.5,
2016-10-25,,,,,,,,1.0,
2016-10-26,,,,,,,,0.8,
2016-10-27,,,,,,,,1.0,
2016-10-29,,,,,,,,1.0,
2016-10-30,,,,,,,,0.4,
2016-11-03,,,,,,,,1.0,
2016-11-04,,,,,,,,1.0,
2016-11-07,,,,,,,,1.0,
2016-11-09,,,,,,,,0.7,
2020-08-19,,,,,,,,1.0,
2024-07-16,,,,,,,,,0.0
2024-07-20,,,,,,,,,1.0
2024-07-23,,,,,,,,,1.0
2024-07-24,,,,,,,,,0.3
2024-07-26,,,,,,,,,0.0
2024-07-30,,,,,,,,,1.0
2024-08-02,,,,,,,,,1.0
2024-08-06,,,,,,,,,1.0
2024-08-09,,,,,,,,,1.0
2024-08-10,,,,,,,,,0.6
2024-08-15,,,,,,,,,0.0
2024-08-18,,,,,,,,,1.0
2024-08-20,,,,,,,,,0.3
2024-08-22,,,,,,,,,0.0
2024-08-24,,,,,,,,,0.0
2024-09-10,,,,,,,,,0.5
2024-09-11,,,,,,,,,1.0
2024-09-16,,,,,,,,,0.0
2024-09-17,,,,,,,,,0.2
2024-09-19,,,,,,,,,0.9
2024-09-26,,,,,,,,,1.0
2024-09-27,,,,,,,,,1.0
2024-10-12,,,,,,,,,1.0
2024-10-17,,,,,,,,,0.0
2024-10-21,,,,,,,,,0.0
2024-10-22,,,,,,,,,1.0
2024-10-23,,,,,,,,,0.1
2024-10-27,,,,,,,,,0.0
2024-10-28,,,,,,,,,0.5
2024-11-04,,,,,,,,,0.0
2025-01-07,,,,,,,,,0.0
